geo,statistics
Stillwater,955
Sweet Grass,443
Teton,885
Toole,748
Treasure,91
Valley,1110
Wheatland,401
Wibaux,112
Yellowstone,18853
Nebraska,230375
Adams,3724
Antelope,883
Arthur,62
Banner,97
Blaine,98
Boone,491
Box Butte,1520
Boyd,286
Brown,399
Buffalo,5424
Burt,631
Butler,840
Cass,1958
Cedar,843
Chase,448
Cherry,817
Cheyenne,1030
Clay,697
Colfax,1234
Cuming,988
Custer,1140
Dakota,2960
Dawes,1554
Dawson,3117
Deuel,242
Dixon,661
Dodge,4404
Douglas,78102
Dundy,279
Fillmore,543
Franklin,429
Frontier,332
Furnas,645
Gage,2539
Garden,297
Garfield,285
Gosper,178
Grant,72
Greeley,317
Hall,9413
Hamilton,764
Harlan,405
Hayes,145
Hitchcock,430
Holt,1362
Hooker,62
Howard,626
Jefferson,922
Johnson,640
Kearney,566
Keith,1071
Keya Paha,150
Kimball,470
Knox,993
Lancaster,37715
Lincoln,4196
Logan,85
Loup,98
McPherson,69
Madison,4250
Merrick,838
Morrill,753
Nance,453
Nemaha,915
Nuckolls,580
Otoe,1552
Pawnee,377
Perkins,295
Phelps,931
Pierce,639
Platte,2852
Polk,442
Red Willow,1244
Richardson,1285
Rock,219
Saline,1450
Sarpy,12597
Saunders,1724
Scotts Bluff,5788
Seward,1232
Sheridan,843
Sherman,393
Sioux,173
Stanton,539
Thayer,567
Thomas,112
Thurston,1675
Valley,584
Washington,1451
Wayne,1010
Webster,440
Wheeler,106
York,1316
Nevada,441373
Churchill,3565
Clark,324535
Douglas,4611
Elko,4494
Esmeralda,109
Eureka,171
Humboldt,1797
Lander,587
Lincoln,667
Lyon,7737
Mineral,792
Nye,7048
Pershing,1036
Storey,338
Washoe,74476
White Pine,1167
Carson City,8244
New Hampshire,123773
Belknap,6609
Carroll,5534
Cheshire,8260
Coos,4176
Grafton,9594
Hillsborough,37537
Merrimack,14333
Rockingham,18642
Strafford,14744
Sullivan,4342
New Jersey,934277
Atlantic,38245
Bergen,72647
Burlington,28776
Camden,63861
Cape May,10301
Cumberland,27144
Essex,132434
Gloucester,24404
Hudson,107096
Hunterdon,5664
Mercer,36894
Middlesex,77061
Monmouth,45472
Morris,23017
Ocean,62772
Passaic,76698
Salem,7235
Somerset,19644
Sussex,9018
Union,58609
Warren,7285
New Mexico,421123
Bernalillo,119527
Catron,883
Chaves,13897
Cibola,7160
Colfax,2373
Curry,8837
DeBaca,422
Dona Ana,55752
Eddy,8349
Grant,6455
Guadalupe,1035
Harding,117
Hidalgo,1109
Lea,9875
Lincoln,3962
Los Alamos,648
Luna,6688
McKinley,27296
Mora,1206
Otero,15441
Quay,2091
Rio Arriba,8806
Roosevelt,4293
Sandoval,18502
San Juan,25802
San Miguel,7912
Santa Fe,24714
Sierra,3088
Socorro,4782
Taos,8230
Torrance,4477
Union,768
Valencia,16628
New York,3040207
Albany,40180
Allegany,8011
Bronx,422828
Broome,32534
Cattaraugus,13915
Cayuga,9741
Chautauqua,26866
Chemung,12900
Chenango,7505
Clinton,10992
Columbia,7907
Cortland,6950
Delaware,7041
Dutchess,27335
Erie,125562
Essex,5196
Franklin,8446
Fulton,8094
Genesee,6534
Greene,6684
Hamilton,490
Herkimer,8345
Jefferson,17454
Kings,615319
Lewis,3658
Livingston,7747
Madison,8907
Monroe,107493
Montgomery,9626
Nassau,91232
New York,278736
Niagara,30995
Oneida,36510
Onondaga,67790
Ontario,11890
Orange,45378
Orleans,6353
Oswego,19469
Otsego,8052
Putnam,6150
Queens,365573
Rensselaer,17897
Richmond,56204
Rockland,47759
St. Lawrence,19882
Saratoga,14514
Schenectady,18733
Schoharie,4444
Schuyler,2427
Seneca,4197
Steuben,15243
Suffolk,108247
Sullivan,13580
Tioga,5091
Tompkins,15902
Ulster,23621
Warren,7512
Washington,7942
Wayne,11015
Westchester,95453
Wyoming,4279
Yates,3878
North Carolina,1706255
Alamance,29249
Alexander,6108
Alleghany,2263
Anson,6388
Ashe,5422
Avery,3457
Beaufort,8954
Bertie,5218
Bladen,8760
Brunswick,17501
Buncombe,42062
Burke,16729
Cabarrus,24051
Caldwell,16502
Camden,980
Carteret,10227
Caswell,4545
Catawba,28114
Chatham,8292
Cherokee,6674
Chowan,3005
Clay,1943
Cleveland,21844
Columbus,13835
Craven,16405
Cumberland,53583
Currituck,2990
Dare,3674
Davidson,26602
Davie,5257
Duplin,13982
Durham,52102
Edgecombe,15308
Forsyth,73689
Franklin,9960
Gaston,36415
Gates,2047
Graham,1924
Granville,10706
Greene,5159
Guilford,88071
Halifax,15310
Harnett,22425
Haywood,9384
Henderson,15229
Hertford,6718
Hoke,10239
Hyde,1219
Iredell,23165
Jackson,8270
Johnston,29107
Jones,2041
Lee,10464
Lenoir,13831
Lincoln,11483
McDowell,8785
Macon,6843
Madison,3913
Martin,5873
Mecklenburg,153049
Mitchell,3027
Montgomery,6278
Moore,14346
Nash,19403
New Hanover,32217
Northampton,6544
Onslow,24986
Orange,21094
Pamlico,2129
Pasquotank,6713
Pender,10228
Perquimans,2395
Person,6283
Pitt,39993
Polk,3647
Randolph,25220
Richmond,11153
Robeson,45611
Rockingham,17539
Rowan,25671
Rutherford,12040
Sampson,13766
Scotland,10360
Stanly,10113
Stokes,8220
Surry,13512
Swain,2906
Transylvania,5057
Tyrrell,1065
Union,23976
Vance,11494
Wake,108105
Warren,4933
Washington,3452
Watauga,13639
Wayne,28283
Wilkes,13576
Wilson,19125
Yadkin,7262
Yancey,3551
North Dakota,75251
Adams,233
Barnes,1162
Benson,2178
Billings,80
Bottineau,658
Bowman,231
Burke,187
Burleigh,5625
Cass,16446
Cavalier,313
Dickey,598
Divide,198
Dunn,395
Eddy,271
Emmons,500
Foster,289
Golden Valley,185
Grand Forks,10460
Grant,398
Griggs,201
Hettinger,251
Kidder,327
LaMoure,378
Logan,228
McHenry,779
McIntosh,332
McKenzie,891
McLean,953
Mercer,576
Morton,2937
Mountrail,1005
Nelson,307
Oliver,195
Pembina,582
Pierce,508
Ramsey,1292
Ransom,482
Renville,204
Richland,1602
Rolette,4278
Sargent,282
Sheridan,211
Sioux,1511
Slope,84
Stark,1997
Steele,150
Stutsman,2289
Towner,225
Traill,682
Walsh,1239
Ward,5351
Wells,476
Williams,2041
Ohio,1818886
Adams,6171
Allen,19903
Ashland,7671
Ashtabula,19670
Athens,18338
Auglaize,4399
Belmont,10698
Brown,7328
Butler,50091
Carroll,4175
Champaign,5100
Clark,26589
Clermont,22582
Clinton,6303
Columbiana,16310
Coshocton,5581
Crawford,6952
Cuyahoga,233101
Darke,6493
Defiance,5706
Delaware,8885
Erie,9146
Fairfield,15463
Fayette,4991
Franklin,210197
Fulton,4452
Gallia,6242
Geauga,7416
Greene,19994
Guernsey,7526
Hamilton,155194
Hancock,10732
Hardin,4771
Harrison,2787
Henry,3070
Highland,7477
Hocking,5714
Holmes,5711
Huron,7743
Jackson,7034
Jefferson,11077
Knox,9144
Lake,22037
Lawrence,11042
Licking,22848
Logan,6685
Lorain,42107
Lucas,96810
Madison,4772
Mahoning,43325
Marion,11180
Medina,13079
Meigs,5230
Mercer,3802
Miami,12752
Monroe,2176
Montgomery,96985
Morgan,2725
Morrow,4895
Muskingum,16743
Noble,2073
Ottawa,4559
Paulding,2290
Perry,6874
Pickaway,7486
Pike,6469
Portage,22736
Preble,5091
Putnam,2773
Richland,21200
Ross,13997
Sandusky,6924
Scioto,18245
Seneca,8835
Shelby,4944
Stark,53788
Summit,84399
Trumbull,35991
Tuscarawas,12234
Union,3972
Van Wert,3101
Vinton,2872
Warren,13862
Washington,9655
Wayne,13562
Williams,5068
Wood,16533
Wyandot,2236
Oklahoma,636134
Adair,5827
Alfalfa,732
Atoka,3061
Beaver,575
Beckham,3422
Blaine,1537
Bryan,8279
Caddo,5908
Canadian,10007
Carter,7466
Cherokee,11424
Choctaw,3368
Cimarron,398
Cleveland,31533
Coal,1276
Comanche,20248
Cotton,1065
Craig,2764
Creek,11027
Custer,4156
Delaware,8560
Dewey,594
Ellis,462
Garfield,8711
Garvin,5493
Grady,7610
Grant,534
Greer,1227
Harmon,690
Harper,365
Haskell,2964
Hughes,2880
Jackson,4189
Jefferson,1320
Johnston,2260
Kay,8299
Kingfisher,1487
Kiowa,1817
Latimer,2015
Le Flore,11992
Lincoln,5891
Logan,5337
Love,1505
McClain,3843
McCurtain,7991
McIntosh,4551
Major,922
Marshall,3083
Mayes,8716
Murray,2130
Muskogee,14632
Noble,1582
Nowata,2059
Okfuskee,3108
Oklahoma,138561
Okmulgee,7492
Osage,7132
Ottawa,7265
Pawnee,2546
Payne,16491
Pittsburg,8311
Pontotoc,7178
Pottawatomie,12724
Pushmataha,2712
Roger Mills,437
Rogers,8811
Seminole,5763
Sequoyah,9344
Stephens,6696
Texas Oklahoma,2537
Tillman,1649
Tulsa,96205
Wagoner,8093
Washington,7549
Washita,1763
Woods,1188
Woodward,2790
Baker,3011
Benton,16062
Clackamas,35640
Clatsop,6261
Columbia,7704
Coos,12700
Crook,3889
Curry,3954
Deschutes,25453
Douglas,22537
Gilliam,224
Grant,1357
Harney,1311
Hood River,3116
Jackson,36832
Jefferson,4378
Josephine,18147
Klamath,12933
Lake,1455
Lane,76710
Lincoln,8441
Linn,20653
Malheur,7089
Marion,62869
Morrow,1735
Multnomah,136065
Polk,12063
Sherman,255
Tillamook,3808
Umatilla,12730
Union,4770
Wallowa,1113
Wasco,4229
Washington,65373
Wheeler,305
Yamhill,16130
Pennsylvania,1688364
Adams,9552
Allegheny,151371
Armstrong,9117
Beaver,20088
Bedford,6520
Berks,57195
Blair,16844
Bradford,9356
Bucks,35979
Butler,17255
Cambria,19518
Cameron,662
Carbon,6775
Centre,26792
Chester,36838
Clarion,7001
Clearfield,11038
Clinton,5780
Columbia,8662
Crawford,13313
Cumberland,23351
Dauphin,35019
Delaware,63245
Elk,2842
Erie,42611
Fayette,22795
Forest,1225
Franklin,18214
Fulton,1750
Greene,5543
Huntingdon,5850
Indiana,14377
Jefferson,6603
Juniata,2941
Lackawanna,30156
Lancaster,59731
Lawrence,12808
Lebanon,16029
Lehigh,41584
Luzerne,49864
Lycoming,15239
Mc Kean,6656
Mercer,15327
Mifflin,7501
Monroe,22139
Montgomery,51743
Montour,1747
Northampton,31391
Northumberland,13309
Perry,4893
Philadelphia,399562
Pike,6528
Potter,2595
Schuylkill,20913
Snyder,4853
Somerset,8972
Sullivan,863
Susquehanna,5475
Tioga,5818
Union,5450
Venango,9341
Warren,5220
Washington,21914
Wayne,7379
Westmoreland,38648
Wyoming,3231
York,45462
Rhode Island,143625
Bristol,3845
Kent,15711
Newport,8442
Providence,104821
Washington,10805
South Carolina,837327
Abbeville,4911
Aiken,27465
Allendale,3562
Anderson,33021
Bamberg,4325
Barnwell,6304
Beaufort,21292
Berkeley,25549
Calhoun,2977
Charleston,63775
Cherokee,12331
Chester,8019
Chesterfield,11355
Clarendon,9826
Colleton,8283
Darlington,16894
Dillon,8695
Dorchester,15930
Edgefield,4932
Fairfield,5537
Florence,26967
Georgetown,11814
Greenville,74268
Greenwood,14055
Hampton,5105
Horry,54748
Jasper,6137
Kershaw,9961
Lancaster,15295
Laurens,13986
Lee,4989
Lexington,39034
McCormick,1906
Marion,8390
Marlboro,7062
Newberry,6361
Oconee,12955
Orangeburg,22196
Pickens,21012
Richland,61197
Saluda,3428
Spartanburg,54389
Sumter,20990
Union,6102
Williamsburg,9924
York,30075
South Dakota,109661
Aurora,279
Beadle,2234
Bennett,1164
Bon Homme,845
Brookings,3857
Brown,3889
Brule,685
Buffalo,788
Butte,1361
Campbell,134
Charles Mix,2137
Clark,530
Clay,2959
Codington,2654
Corson,1630
Custer,939
Davison,2263
Day,885
Deuel,425
Dewey,1450
Douglas,296
Edmunds,461
Fall River,1089
Faulk,265
Grant,743
Gregory,835
Haakon,230
Hamlin,629
Hand,313
Hanson,276
Harding,149
Hughes,1601
Hutchinson,810
Hyde,160
Jackson,983
Jerauld,282
Jones,135
Kingsbury,543
Lake,1124
Lawrence,3207
Lincoln,2237
Lyman,831
McCook,577
McPherson,384
Marshall,596
Meade,2468
Mellette,702
Miner,271
Minnehaha,19658
Moody,650
Pennington,13736
Perkins,419
Potter,254
Roberts,2035
Sanborn,295
Shannon,6638
Spink,694
Stanley,270
Sully,104
Todd,3929
Tripp,960
Turner,802
Union,959
Walworth,761
Yankton,2859
Ziebach,1335
Tennessee,1135205
Anderson,13734
Bedford,7730
Benton,3715
Bledsoe,3152
Blount,17714
Bradley,18649
Campbell,10172
Cannon,2250
Carroll,5258
Carter,12789
Cheatham,5021
Chester,3075
Claiborne,7484
Clay,1997
Cocke,9661
Coffee,9719
Crockett,3030
Cumberland,9994
Davidson,118500
Decatur,2242
DeKalb,4305
Dickson,8598
Dyer,6643
Fayette,6252
Fentress,4931
Franklin,7090
Gibson,9639
Giles,5239
Grainger,4800
Greene,15389
Grundy,3433
Hamblen,13265
Hamilton,51381
Hancock,2089
Hardeman,6200
Hardin,5468
Hawkins,9556
Haywood,3948
Henderson,5284
Henry,6097
Hickman,5112
Houston,1761
Humphreys,2876
Jackson,2737
Jefferson,9271
Johnson,4655
Knox,69107
Lake,2312
Lauderdale,7154
Lawrence,8265
Lewis,2345
Lincoln,5469
Loudon,6662
McMinn,10899
McNairy,5527
Macon,4735
Madison,17362
Marion,5178
Marshall,5158
Maury,13927
Meigs,2348
Monroe,7739
Montgomery,30427
Moore,837
Morgan,4498
Obion,6092
Overton,4574
Perry,1784
Pickett,977
Polk,3165
Putnam,17273
Rhea,6543
Roane,8790
Robertson,8378
Rutherford,34576
Scott,5426
Sequatchie,3003
Sevier,14175
Shelby,200730
Smith,3261
Stewart,2356
Sullivan,27260
Sumner,16354
Tipton,8683
Trousdale,1387
Unicoi,3426
Union,4604
Van Buren,1106
Warren,8814
Washington,21051
Wayne,3548
Weakley,6812
White,4700
Williamson,12645
Wilson,11856
Anderson,10027,
Andrews,1806
Angelina,17598
Aransas,4570
Archer,818
Armstrong,207
Atascosa,8184
Austin,3356
Bailey,1224
Bandera,2814
Bastrop,10315
Baylor,690
Bee,6833
Bell,45253
Bexar,333176
Blanco,1339
Borden,54
Bosque,2920
Bowie,17565
Brazoria,36633
Brazos,50944
Brewster,1394
Briscoe,254
Brooks,2273
Brown,6856
Burleson,2722
Burnet,6460
Caldwell,7395
Calhoun,3574
Callahan,2203
Cameron,145824
Camp,2731
Carson,541
Cass,5966
Castro,1620
Chambers,3217
Cherokee,12879
Childress,1393
Clay,1217
Cochran,618
Coke,468
Coleman,1894
Collin,64567
Collingsworth,632
Colorado,3626
Comal,11328
Comanche,2897
Concho,815
Cooke,5617
Coryell,9605
Cottle,309
Crane,450
Crockett,529
Crosby,1470
Culberson,529
Dallam,958
Dallas Texas,466855
Dawson,2543
Deaf Smith,3372
Delta,995
Denton,61520
DeWitt,3613
Dickens,483
Dimmit,2659
Donley,664
Duval,2786
Eastland,3755
Ector,20576
Edwards,436
Ellis,16611
El Paso,194470
Erath,8142
Falls,3873
Fannin,5437
Fayette,3071
Fisher,601
Floyd,1548
Foard,235
Fort Bend,55527
Franklin,1790
Freestone,2984
Frio,4603
Gaines,2901
Galveston,36380
Garza,1316
Gillespie,3009
Glasscock,119
Goliad,1176
Gonzales,4077
Gray,3742
Grayson,19622
Gregg,22345
Grimes,4731
Guadalupe,13045
Hale,7353
Hall,788
Hamilton,1407
Hansford,721
Hardeman,741
Hardin,7069
Harris,783419
Harrison,11672
Hartley,550
Haskell,1320
Hays,26361
Hemphill,345
Henderson,17913
Hidalgo,272635
Hill,6859
Hockley,3745
Hood,5937
Hopkins,6088
Houston,5180
Howard,6121
Hudspeth,966
Hunt,16545
Hutchinson,2870
Irion,159
Jack,1322
Jackson,2177
Jasper,7182
Jeff Davis,292
Jefferson,49556
Jim Hogg,1290
Jim Wells,8295
Johnson,19423
Jones,3932
Karnes,3226
Kaufman,14789
Kendall,3171
Kenedy,70
Kent,101
Kerr,8814
Kimble,851
King,27
Kinney,748
Kleberg,7305
Knox,778
Lamar,11253
Lamb,2799
Lampasas,3239
La Salle,1897
Lavaca,2311
Lee,2262
Leon,2791
Liberty,13237
Limestone,4825
Lipscomb,388
Live Oak,1882
Llano,3017
Loving,12
Lubbock,60456
Lynn,1158
McCulloch,1740
McLennan,45405
McMullen,81
Madison,2667
Marion,2436
Martin,719
Mason,622
Matagorda,7099
Maverick,15437
Medina,7685
Menard,548
Midland,14272
Milam,5231
Mills,935
Mitchell,1656
Montague,3332
Montgomery,60202
Moore,3070
Morris,2868
Motley,210
Nacogdoches,14716
Navarro,9558
Newton,2820
Nolan,3040
Nueces,59796
Ochiltree,1197
Oldham,253
Orange,13816
Palo Pinto,5214
Panola,3287
Parker,12532
Parmer,1453
Pecos,2616
Polk,7371
Potter,26963
Presidio,1634
Rains,1850
Randall,13859
Reagan,323
Real,708
Red River,2600
Reeves,3012
Refugio,1133
Roberts,69
Robertson,2924
Rockwall,5501
Runnels,2046
Rusk,8881
Sabine,2142
San Augustine,2045
San Jacinto,5272
San Patricio,10696
San Saba,1121
Schleicher,510
Scurry,2416
Shackelford,448
Shelby,4956
Sherman,393
Smith,36260
Somervell,961
Starr,26465
Stephens,1792
Sterling,139
Stonewall,241
Sutton,514
Swisher,1523
Tarrant,287871
Taylor,24358
Terrell,157
Terry,2674
Throckmorton,207
Titus,6254
Tom Green,18002
Travis,192685
Trinity,2805
Tyler,4094
Upshur,6590
Upton,514
Uvalde,6859
Val Verde,9972
Van Zandt,9787
Victoria,14632
Walker,12301
Waller,7999
Ward,1899
Washington,4849
Webb,80082
Wharton,7278
Wheeler,690
Wichita,19583
Wilbarger,2212
Willacy,7241
Williamson,34861
Wilson,4850
Winkler,1027
Wise,7038
Wood,6460
Yoakum,885
Young,2740
Zapata,4124
Zavala,3919
Utah,364124
Beaver,701
Box Elder,4629
Cache,17518
Carbon,3035
Daggett,89
Davis,26231
Duchesne,2154
Emery,1354
Garfield,631
Grand,1375
Iron,8450
Juab,1298
Kane,878
Millard,1636
Morgan,599
Piute,327
Rich,243
Salt Lake,139534
San Juan,4008
Sanpete,4273
Sevier,3315
Summit,2888
Tooele,5192
Uintah,3453
Utah,75077
Wasatch,2124
Washington,22777
Wayne,473
Weber,29861
Vermont,71626
Addison,3868
Bennington,4898
Caledonia,4318
Chittenden,16148
Essex,1018
Franklin,5046
Grand Isle,619
Lamoille,2772
Orange,3693
Orleans,4140
Rutland,8024
Washington,5418
Windham,5549
Windsor,6114
Virginia,936384
Accomack,6541
Albemarle,9026
Alleghany,2129
Amelia,1578
Amherst,4449
Appomattox,2483
Arlington,17555
Augusta,7039
Bath,526
Bedford,6824
Bland,928
Botetourt,2503
Brunswick,3688
Buchanan,5223
Buckingham,3414
Campbell,7899
Caroline,3433
Carroll,5794
Charles City,946
Charlotte,2262
Chesterfield,23320
Clarke,1207
Craig,699
Culpeper,5034
Cumberland,1695
Dickenson,3243
Dinwiddie,3596
Essex,1741
Fairfax,66941
Fauquier,4523
Floyd,2156
Fluvanna,2155
Franklin,7751
Frederick,6968
Giles,2126
Gloucester,3540
Goochland,1515
Grayson,2916
Greene,1773
Greensville,2202
Halifax,7054
Hanover,6372
Henrico,31395
Henry,9210
Highland,336
Isle of Wight,3278
James City,5730
King and Queen,973
King George,1783
King William,1333
Lancaster,1504
Lee,6734
Loudoun,13489
Louisa,3891
Lunenburg,3131
Madison,1693
Mathews,917
Mecklenburg,6119
Middlesex,1544
Montgomery,20087
Nelson,2075
New Kent,1238
Northampton,2705
Northumberland,1816
Nottoway,3226
Orange,3364
Page,3683
Patrick,3280
Pittsylvania,8965
Powhatan,1821
Prince Edward,4460
Prince George,2781
Prince William,28559
Pulaski,5563
Rappahannock,783
Richmond,1484
Roanoke,6740
Rockbridge,2781
Rockingham,8140
Russell,5145
Scott,4699
Shenandoah,4797
Smyth,5898
Southampton,2799
Spotsylvania,10558
Stafford,7231
Surry,881
Sussex,2156
Tazewell,9089
Warren,4085
Washington,7405
Westmoreland,3073
Wise,9750
Wythe,4889
York,4494
Alexandria city,12412
Bedford city,1114
Bristol city,3624
Buena Vista city,1165
Charlottesville city,10138
Chesapeake city,23308
Colonial Heights city,1809
Covington city,903
Danville city,10719
Emporia city,1406
Fairfax city,1555
Falls Church city,410
Franklin city,1750
Fredericksburg city,3860
Galax city,1506
Hampton city,21855
Harrisonburg city,16262
Hopewell city,4153
Lexington city,1042
Lynchburg city,15896
Manassas city,4331
Manassas Park city,1356
Martinsville city,3645
Newport News city,28299
Norfolk city,47978
Norton city,727
Petersburg city,8084
Poquoson city,640
Portsmouth city,18123
Radford city,4643
Richmond city,52017
Roanoke city,19291
Salem city,2764
Staunton city,3795
Suffolk city,9986
Virginia Beach city,39564
Waynesboro city,3170
Williamsburg city,2500
Winchester city,4257
Washington,916976
Adams,3359
Asotin,3159
Benton,23478
Chelan,10810
Clallam,9906
Clark,51981
Columbia,579
Cowlitz,16955
Douglas,5751
Ferry,1601
Franklin,14095
Garfield,288
Grant,17003
Grays Harbor,14071
Island,7421
Jefferson,3871
King,234813
Kitsap,27401
Kittitas,7546
Klickitat,3542
Lewis,12416
Lincoln,1478
Mason,9525
Okanogan,8931
Pacific,3561
Pend Oreille,2572
Pierce,101706
San Juan,1900
Skagit,17004
Skamania,1624
Snohomish,74394
Spokane,73788
Stevens,7965
Thurston,31087
Wahkiakum,539
Walla Walla,10306
Whatcom,32202
Whitman,12848
Yakima,55498
West Virginia,323978
Barbour,3293
Berkeley,13952
Boone,4947
Braxton,2916
Brooke,3343
Cabell,18833
Calhoun,1655
Clay,2132
Doddridge,1525
Fayette,9382
Gilmer,2037
Grant,1760
Greenbrier,6537
Hampshire,4034
Hancock,4597
Hardy,2095
Harrison,13786
Jackson,5043
Jefferson,6435
Kanawha,27244
Lewis,3028
Lincoln,5161
Logan,7426
McDowell,7489
Marion,9494
Marshall,4755
Mason,5216
Mercer,12215
Mineral,4194
Mingo,6170
Monongalia,19246
Monroe,2050
Morgan,2631
Nicholas,4568
Ohio,7535
Pendleton,1144
Pleasants,1079
Pocahontas,1705
Preston,5399
Putnam,6051
Raleigh,13846
Randolph,4951
Ritchie,1922
Roane,3137
Summers,3295
Taylor,2941
Tucker,1067
Tyler,1496
Upshur,4089
Wayne,8487
Webster,2525
Wetzel,2944
Wirt,1060
Wood,15024
Wyoming,5090
Wisconsin,738226
Adams,2861
Ashland,2676
Barron,6547
Bayfield,1985
Brown,29711
Buffalo,1407
Burnett,2534
Calumet,2988
Chippewa,6954
Clark,5780
Columbia,5130
Crawford,2313
Dane,62611
Dodge,7972
Door,2953
Douglas,6642
Dunn,6494
Eau Claire,14558
Florence,579
Fond du Lac,9244
Forest,1382
Grant,6914
Green,3273
Green Lake,1998
Iowa,2516
Iron,762
Jackson,2889
Jefferson,8263
Juneau,3772
Kenosha,21965
Kewaunee,1835
La Crosse,15577
Lafayette,2260
Langlade,3178
Lincoln,3199
Manitowoc,8055
Marathon,14558
Marinette,5351
Marquette,2003
Menominee,1287
Milwaukee,209201
Monroe,6526
Oconto,3362
Oneida,4022
Outagamie,15765
Ozaukee,4730
Pepin,885
Pierce,4380
Polk,4481
Portage,10159
Price,1897
Racine,25505
Richland,2589
Rock,23344
Rusk,2510
St. Croix,5663
Sauk,6157
Sawyer,2509
Shawano,4757
Sheboygan,12043
Taylor,3205
Trempealeau,3138
Vernon,4900
Vilas,3017
Walworth,13490
Washburn,2109
Washington,8438
Waukesha,22744
Waupaca,5201
Waushara,3054
Winnebago,17913
Wood,7558
Wyoming,66879
Albany,8559
Big Horn,1375
Campbell,3292
Carbon,1988
Converse,1316
Crook,605
Fremont,6499
Goshen,2145
Hot Springs,552
Johnson,794
Laramie,10118
Lincoln,1668
Natrona,9595
Niobrara,352
Park,3202
Platte,1116
Sheridan,3141
Sublette,608
Sweetwater,3741
Teton,1885
Uinta,2646
Washakie,993
Weston,687
